"freq_""hz""","amplitude_""db"""
0.0,-25.2343896
2.46606691919,-28.8343896
4.93213383838,-60.8343896
7.398200757570001,-59.634389600000006
9.86426767676,-59.634389600000006
12.330334595950001,-60.8343896
14.796401515140001,-60.8343896
17.262468434330003,-60.8343896
19.72853535352,-60.8343896
22.19460227271,-60.8343896
24.660669191900002,-60.8343896
27.126736111090004,-60.8343896
29.592803030280002,-56.8343896
32.05886994947,-59.634389600000006
34.524936868660006,-60.8343896
36.991003787850005,-60.8343896
39.45707070704,-60.8343896
41.92313762623,-60.8343896
44.38920454542,-60.8343896
46.855271464610006,-60.8343896
49.321338383800004,-60.8343896
51.78740530299,-57.2343896
54.25347222218001,-60.8343896
56.71953914137001,-59.634389600000006
59.185606060560005,-59.634389600000006
61.65167297975,-60.8343896
64.11773989894,-60.8343896
66.58380681813,-60.8343896
69.04987373732001,-60.8343896
71.51594065651001,-59.634389600000006
73.98200757570001,-60.8343896
76.44807449489001,-59.634389600000006
78.91414141408,-60.8343896
81.38020833327,-59.634389600000006
83.84627525246,-59.634389600000006
86.31234217165,-59.634389600000006
88.77840909084,-60.8343896
91.24447601003001,-60.8343896
93.71054292922001,-60.8343896
96.17660984841001,-60.8343896
98.64267676760001,-60.8343896
101.10874368679,-60.8343896
103.57481060598,-60.8343896
106.04087752517,-60.8343896
108.50694444436002,-60.8343896
110.97301136355001,-60.8343896
113.43907828274001,-60.8343896
115.90514520193001,-60.8343896
118.37121212112001,-60.8343896
120.83727904031001,-60.8343896
123.3033459595,-60.8343896
125.76941287869,-60.8343896
128.23547979788,-60.8343896
130.70154671707002,-59.634389600000006
133.16761363626,-60.8343896
135.63368055545,-60.8343896
138.09974747464003,-60.8343896
140.56581439383,-59.634389600000006
143.03188131302002,-59.634389600000006
145.49794823221,-60.8343896
147.96401515140002,-60.8343896
150.43008207059,-59.634389600000006
152.89614898978002,-60.8343896
155.36221590897,-56.8343896
157.82828282816,-60.8343896
160.29434974735003,-60.8343896
162.76041666654,-60.8343896
165.22648358573002,-60.8343896
167.69255050492,-60.8343896
170.15861742411002,-60.8343896
172.6246843433,-59.634389600000006
175.09075126249002,-60.8343896
177.55681818168,-60.8343896
180.02288510087,-60.8343896
182.48895202006003,-60.8343896
184.95501893925,-60.8343896
187.42108585844002,-54.8343896
189.88715277763,-56.8343896
192.35321969682002,-59.634389600000006
194.81928661601,-59.634389600000006
197.28535353520002,-60.8343896
199.75142045439003,-60.8343896
202.21748737358,-60.8343896
204.68355429277003,-60.8343896
207.14962121196,-56.8343896
209.61568813115002,-60.8343896
212.08175505034,-60.8343896
214.54782196953002,-60.8343896
217.01388888872003,-60.8343896
219.47995580791002,-56.8343896
221.94602272710003,-56.8343896
224.41208964629,-59.634389600000006
226.87815656548003,-60.8343896
229.34422348467,-60.8343896
231.81029040386002,-60.8343896
234.27635732305,-60.8343896
236.74242424224002,-60.8343896
239.20849116143003,-60.8343896
241.67455808062002,-57.634389600000006
244.14062499981003,-60.8343896
246.606691919,-60.8343896
249.07275883819003,-60.8343896
251.53882575738,-59.634389600000006
254.00489267657002,-60.8343896
256.47095959576,-60.8343896
258.93702651495005,-60.8343896
261.40309343414003,-60.8343896
263.86916035333,-60.8343896
266.33522727252,-60.8343896
268.80129419171004,-57.634389600000006
271.2673611109,-60.8343896
273.73342803009,-60.8343896
276.19949494928005,-57.634389600000006
278.66556186847004,-59.634389600000006
281.13162878766,-59.634389600000006
283.59769570685,-60.8343896
286.06376262604005,-60.8343896
288.52982954523003,-60.8343896
290.99589646442,-59.634389600000006
293.46196338361,-60.8343896
295.92803030280004,-60.8343896
298.39409722199,-60.8343896
300.86016414118,-60.8343896
303.32623106037005,-60.8343896
305.79229797956003,-60.8343896
308.25836489875,-60.8343896
310.72443181794,-59.634389600000006
313.19049873713004,-60.8343896
315.65656565632,-57.2343896
318.12263257551,-56.8343896
320.58869949470005,-60.8343896
323.05476641389004,-60.8343896
325.52083333308,-60.8343896
327.98690025227,-60.8343896
330.45296717146005,-60.8343896
332.91903409065003,-60.8343896
335.38510100984,-59.634389600000006
337.85116792903005,-60.8343896
340.31723484822004,-60.8343896
342.78330176741,-60.8343896
345.2493686866,-60.8343896
347.71543560579005,-60.8343896
350.18150252498003,-60.8343896
352.64756944417,-60.8343896
355.11363636336,-60.8343896
357.57970328255004,-60.8343896
360.04577020174,-59.634389600000006
362.51183712093,-60.8343896
364.97790404012005,-60.8343896
367.44397095931004,-60.8343896
369.9100378785,-60.8343896
372.37610479769,-60.8343896
374.84217171688005,-60.8343896
377.30823863607003,-60.8343896
379.77430555526,-57.634389600000006
382.24037247445006,-59.634389600000006
384.70643939364004,-56.8343896
